chemical    a    b    c    t_min (celsius)    t_max (celsius)
Water    8.07131    1730.63    233.426    1    100
Water    8.14019    1810.94    244.485    99    374
water    8.07131    1730.63    233.426    1    100
vinylcyclohexene    7.16585    1528.42    228.837    -109.15    325.85
vinylacetylene    6.77495    901.122    226.305    -93.2    180.85
vinylacetonitrile    7.4065    1617.88    238.968    -87    310.85
vinylacetic acid    6.87443    1288.84    153.724    65.6735    396.543
vinyl propionate    6.6846    993.683    170.035    88.85    272.85
vinyl iodide    6.60168    911.131    188.871    -11.0737    263.84
vinyl formate    7.18214    1177.3    226.856    -73.15    224.85
vinyl fluoride    7.24752    857.669    268.611    -160.5    54.65
vinyl chloride    6.89716    897.722    236.887    -153.79    158.85
vinyl bromide    7.67449    1403.35    276.951    -137.8    199.85
vinyl acetate    7.34453    1393.85    239.762    -92.8    250.85
vanillin    7.81755    2260.06    172.954    81.85    503.85
valeronitrile    7.36051    1665.31    230.446    -96.2    329.85
valeraldehyde    7.0192    1316    215.01    4    139
undecylcyclopentane    7.16056    1978.5    166.683    154    470.15
undecylcyclohexane    7.16018    2045.12    164.793    167    488.59
undecylbenzene    7.48314    2272.37    180.494    -5.15    490.85
undecylamine    7.1033    1698.33    159.211    118.427    419.25
undecyl-alcohol    6.5271    1250    100    120    243
undecyl propanoate    7.68048    2201.69    153.928    200.992    447.75
undecyl formate    7.16557    1783.44    157.899    155.621    426.85
undecyl butanoate    5.1353    750    5    224.879    377.67
undecyl acetate    7.91687    2200    190    196.85    296.85
undecanoic acid    7.57033    2016.72    145.848    161.095    451.851
undecanenitrile    7.25467    1822.67    156.721    158.755    433.051
undecane    6.9722    1569.57    187.7    75    226
undecane    7.18058    1706.26    200.897    -25.58    365.61
undecanal    7.64132    2112.13    210.678    0    398.85
triundecylamine    9.4483    4604.79    273.15    336.7    478
tritridecylamine    9.46483    4873.16    273.15    339.994    517
tritriacontylcyclopentane    5.44368    1582.39    103.432    295.502    564
tritriacontylcyclohexane    6.5325    1950    13    247.04    571
tritriacontylbenzene    6.56701    1950    13    247.327    566
tritriacontylamine    8.72458    4582.39    273.15    405.187    561
tritriacontane    7.14856    2314.4    67.3    243.557    525.555
tritetradecylamine    9.44949    4973.47    273.15    370.753    534
tripropylamine    7.59939    1754.25    215.275    -93.5    304.35
triphenylphosphine    7.72816    2717.52    183.621    81.25    734.85
triphenylphosphate    8.18951    3328.64    213.517    50    413.5
triphenylethylene    7.347    2553.77    175.95    69    634.85
tripentylamine    6.83325    1403.73    112.154    143.791    390.116
tripentadecylamine    9.4015    5041.47    273.15    365.637    550
trioxane    7.34399    1484.18    218.039    61.5    330.85
trioctylamine    6.16848    1200    8    268.77    407
trioctadecylamine    9.30789    5245.46    273.15    340.294    593
trinonylamine    6.3335    1350    9    284.12    432
trinonadecylamine    9.28913    5313.45    273.15    490.97    606
trimethylolpropane    10.529    4294.67    272.635    58    435.85
trimethylamine    6.9704    968.7    234.01    -58    32
trimethylamine    6.94803    981.847    238.535    -117.07    160.1
trimethyl silane    6.90193    1030.41    249.55    -135.89    158.85
trimethyl phosphate    7.62138    2069.63    243.878    -46.15    490.85
trimellitic anhydride    8.21048    2807.76    136.967    165    616.85
triiodomethane    6.59598    1567.8    204    137    254
trihexylamine    6.64438    1299.04    81.161    160.788    400.593
trihexadecylamine    9.35545    5109.46    273.15    358.393    566
triheptylamine    6.44215    1318.59    40.2525    248.821    471.571
triheptadecylamine    9.32726    5177.46    273.15    423.35    580
